-15	-9	-149.0362435	-149.0362435
-15	-7	-149.0362435	-154.9831065
-15	-5	-163.6104597	-161.5650512
-15	-3	-168.6900675	-168.6900675
-15	-1	180	-176.1859252
-15	1	180	176.1859252
-15	3	168.6900675	168.6900675
-15	5	163.6104597	161.5650512
-15	7	149.0362435	154.9831065
-15	9	149.0362435	149.0362435
-15	11	135	143.7461623
-15	13	135	139.0856168
-15	15	135	135
-15	17	135	131.4236656
-15	19	135	128.2901632
-13	-21	-120.9637565	-121.7594801
-13	-19	-120.9637565	-124.3803447
-13	-17	-135	-127.4053566
-13	-15	-135	-130.9143832
-13	-13	-135	-135
-13	-11	-135	-139.7636417
-13	-9	-149.0362435	-145.3048465
-13	-7	-149.0362435	-151.6992442
-13	-5	-163.6104597	-158.962489
-13	-3	-163.6104597	-167.0053832
-13	-1	180	-175.6012946
-13	1	180	175.6012946
-13	3	163.6104597	167.0053832
-13	5	163.6104597	158.962489
-13	7	149.0362435	151.6992442
-13	9	149.0362435	145.3048465
-13	11	135	139.7636417
-13	13	135	135
-13	15	135	130.9143832
-13	17	135	127.4053566
-13	19	120.9637565	124.3803447
-11	-21	-120.9637565	-117.6459754
-11	-19	-120.9637565	-120.0685828
-11	-17	-120.9637565	-122.9052429
-11	-15	-135	-126.2538377
-11	-13	-135	-130.2363583
-11	-11	-135	-135
-11	-9	-135	-140.7105931
-11	-7	-149.0362435	-147.5288077
-11	-5	-149.0362435	-155.5560452
-11	-3	-163.6104597	-164.7448813
-11	-1	180	-174.8055711
-11	1	180	174.8055711
-11	3	163.6104597	164.7448813
-11	5	149.0362435	155.5560452
-11	7	149.0362435	147.5288077
-11	9	135	140.7105931
-11	11	135	135
-11	13	135	130.2363583
-11	15	135	126.2538377
-11	17	120.9637565	122.9052429
-11	19	120.9637565	120.0685828
-9	-21	-120.9637565	-113.1985905
-9	-19	-120.9637565	-115.3461759
-9	-17	-120.9637565	-117.897271
-9	-15	-120.9637565	-120.9637565
-9	-13	-120.9637565	-124.6951535
-9	-11	-135	-129.2894069
-9	-9	-135	-135
-9	-7	-135	-142.1250163
-9	-5	-149.0362435	-150.9453959
-9	-3	-163.6104597	-161.5650512
-9	-1	180	-173.6598083
-9	1	180	173.6598083
-9	3	163.6104597	161.5650512
-9	5	149.0362435	150.9453959
-9	7	135	142.1250163
-9	9	135	135
-9	11	135	129.2894069
-9	13	120.9637565	124.6951535
-9	15	120.9637565	120.9637565
-9	17	120.9637565	117.897271
-9	19	120.9637565	115.3461759
-7	-21	-106.3895403	-108.4349488
-7	-19	-106.3895403	-110.2248594
-7	-17	-120.9637565	-112.3801351
-7	-15	-120.9637565	-115.0168935
-7	-13	-120.9637565	-118.3007558
-7	-11	-120.9637565	-122.4711923
-7	-9	-135	-127.8749837
-7	-7	-135	-135
-7	-5	-135	-144.4623222
-7	-3	-149.0362435	-156.8014095
-7	-1	-168.6900675	-171.8698976
-7	1	168.6900675	171.8698976
-7	3	149.0362435	156.8014095
-7	5	135	144.4623222
-7	7	135	135
-7	9	135	127.8749837
-7	11	120.9637565	122.4711923
-7	13	120.9637565	118.3007558
-7	15	120.9637565	115.0168935
-7	17	120.9637565	112.3801351
-7	19	106.3895403	110.2248594
-5	-21	-106.3895403	-103.3924978
-5	-19	-106.3895403	-104.7435628
-5	-17	-106.3895403	-106.3895403
-5	-15	-106.3895403	-108.4349488
-5	-13	-106.3895403	-111.037511
-5	-11	-120.9637565	-114.4439548
-5	-9	-120.9637565	-119.0546041
-5	-7	-135	-125.5376778
-5	-5	-135	-135
-5	-3	-149.0362435	-149.0362435
-5	-1	-168.6900675	-168.6900675
-5	1	168.6900675	168.6900675
-5	3	149.0362435	149.0362435
-5	5	135	135
-5	7	135	125.5376778
-5	9	120.9637565	119.0546041
-5	11	120.9637565	114.4439548
-5	13	106.3895403	111.037511
-5	15	106.3895403	108.4349488
-5	17	106.3895403	106.3895403
-5	19	106.3895403	104.7435628
-3	-21	-101.3099325	-98.13010235
-3	-19	-101.3099325	-98.97262661
-3	-17	-101.3099325	-100.0079798
-3	-15	-101.3099325	-101.3099325
-3	-13	-106.3895403	-102.9946168
-3	-11	-106.3895403	-105.2551187
-3	-9	-106.3895403	-108.4349488
-3	-7	-120.9637565	-113.1985905
-3	-5	-120.9637565	-120.9637565
-3	-3	-135	-135
-3	-1	-163.6104597	-161.5650512
-3	1	163.6104597	161.5650512
-3	3	135	135
-3	5	120.9637565	120.9637565
-3	7	120.9637565	113.1985905
-3	9	106.3895403	108.4349488
-3	11	106.3895403	105.2551187
-3	13	106.3895403	102.9946168
-3	15	101.3099325	101.3099325
-3	17	101.3099325	100.0079798
-3	19	101.3099325	98.97262661
-1	-21	-90	-92.72631099
-1	-19	-90	-93.0127875
-1	-17	-90	-93.36646066
-1	-15	-90	-93.81407483
-1	-13	-90	-94.39870535
-1	-11	-90	-95.19442891
-1	-9	-90	-96.34019175
-1	-7	-101.3099325	-98.13010235
-1	-5	-101.3099325	-101.3099325
-1	-3	-106.3895403	-108.4349488
-1	-1	-135	-135
-1	1	135	135
-1	3	106.3895403	108.4349488
-1	5	101.3099325	101.3099325
-1	7	101.3099325	98.13010235
-1	9	90	96.34019175
-1	11	90	95.19442891
-1	13	90	94.39870535
-1	15	90	93.81407483
-1	17	90	93.36646066
-1	19	90	93.0127875
1	-21	-90	-87.27368901
1	-19	-90	-86.9872125
1	-17	-90	-86.63353934
1	-15	-90	-86.18592517
1	-13	-90	-85.60129465
1	-11	-90	-84.80557109
1	-9	-90	-83.65980825
1	-7	-78.69006753	-81.86989765
1	-5	-78.69006753	-78.69006753
1	-3	-73.61045967	-71.56505118
1	-1	-45	-45
1	1	45	45
1	3	73.61045967	71.56505118
